UPOS	POS	LEMMA
ADJ	прым.	@Абтекаровъ	
ADJ	прым.	@Августовый	
ADJ	прым.	@Автентичный, автентычный	
ADJ	прым.	@Аггельственый	
ADJ	прым.	@Агнецевъ	
ADJ	прым.	@Агнечий, агньчий	
ADJ	прым.	@Адамантовый	
ADJ	прым.	@Адамантыновый	
ADJ	прым.	@Адамашковый, адомашковый, едамашковый, одамашковый, одомашковый, ядамашковый	
ADJ	прым.	@Адовный	
ADJ	прым.	@Адовый	
ADJ	прым.	@Адский	
ADJ	прым.	@Азбучный	
ADJ	прым.	@Азийский	
ADJ	прым.	@Азитийский	
ADJ	прым.	@Азиятицкий, азиатицкий	
ADJ	прым.	@Акафистовый	
ADJ	прым.	@Аквитанский	
ADJ	прым.	@Акгинский	
ADJ	прым.	@Акглинский	
ADJ	прым.	@Акгустинский	
ADJ	прым.	@Акинтовый	
ADJ	прым.	@Акифовый, иакинфовый	
ADJ	прым.	@Акиянский	
ADJ	прым.	@Аккаронский	
ADJ	прым.	@Аксамитный, оксамитный, оксемитный	
ADJ	прым.	@Актовый	
ADJ	прым.	@Акторкинъ	
ADJ	прым.	@Акторовъ	
ADJ	прым.	@Алейницкий	
ADJ	прым.	@Алкионский	
ADJ	прым.	@Аллигоричный	
ADJ	прым.	@Алляный	
ADJ	прым.	@Алмасный	
ADJ	прым.	@Алтембасовый	
ADJ	прым.	@Алхимицкий	
ADJ	прым.	@Алчебный	
ADJ	прым.	@Алчный	
ADJ	прым.	@Алый	
ADJ	прым.	@Алябастровый, алевастровый	
ADJ	прым.	@Амазонский	
ADJ	прым.	@Амалидский	
ADJ	прым.	@Аматистовый	
ADJ	прым.	@Амбарный	
ADJ	прым.	@Амбаровъ	
ADJ	прым.	@Амбонный	
ADJ	прым.	@Амонитский, амоницкий, аммоницкий	
ADJ	прым.	@Аморейский, амморейский, аморрейский	
ADJ	прым.	@Амрамский	
ADJ	прым.	@Аналойный, анолойный	
ADJ	прым.	@Ангеловъ, аггеловъ	
ADJ	прым.	@Ангельский, аггелский, ангелский	
ADJ	прым.	@Анелский	
ADJ	прым.	@Анкгельский, акгинский, акглинский, ангелский, англинский, анкгелский, анигильский	
ADJ	прым.	@Аномалный	
ADJ	прым.	@Антеконвокацийный	
ADJ	прым.	@Антихристовъ	
ADJ	прым.	@Анышковый	
ADJ	прым.	@Аньельский	
ADJ	прым.	@Апеляцыйный	
ADJ	прым.	@Апостоловъ	
ADJ	прым.	@Апостолский, апостольский	
ADJ	прым.	@Апотекаревъ	
ADJ	прым.	@Апотекарский	
ADJ	прым.	@Апрелевый, апреловый, априлевый, априловый	
ADJ	прым.	@Апробацыйный	
ADJ	прым.	@Аптекарский	
ADJ	прым.	@Аптечный	
ADJ	прым.	@Арабский, арапский	
ADJ	прым.	@Аравитский	
ADJ	прым.	@Аравский	
ADJ	прым.	@Арамский	
ADJ	прым.	@Арендаровъ	
